Name|Full name|Start time|Result|Category
_2_ResetBrowsePolicy("IDLE","20",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._2_ResetBrowsePolicy("IDLE","20",null)|2024-11-13T20:23:55Z|Passed|smoke|
_3_SortingOrderByPolicyName("IDLE","10",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._3_SortingOrderByPolicyName("IDLE","10",null)|2024-11-13T20:24:19Z|Passed|smoke|
_4_SortingOrderByState("IDLE","10",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._4_SortingOrderByState("IDLE","10",null)|2024-11-13T20:24:39Z|Passed|smoke|
_5_SortingOrderByBaselineChanged("IDLE","10",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._5_SortingOrderByBaselineChanged("IDLE","10",null)|2024-11-13T20:25:03Z|Passed|smoke|
_6_ThreeOrMoreCharsAreMandatoryForSearch("Z","IDLE","50",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._6_ThreeOrMoreCharsAreMandatoryForSearch("Z","IDLE","50",null)|2024-11-13T20:25:29Z|Passed|smoke|
_6_ThreeOrMoreCharsAreMandatoryForSearch("ZZ","IDLE","20",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._6_ThreeOrMoreCharsAreMandatoryForSearch("ZZ","IDLE","20",null)|2024-11-13T20:25:50Z|Passed|smoke|
_6_ThreeOrMoreCharsAreMandatoryForSearch("Q1","IDLE","100",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._6_ThreeOrMoreCharsAreMandatoryForSearch("Q1","IDLE","100",null)|2024-11-13T20:26:11Z|Passed|smoke|
_6_ThreeOrMoreCharsAreMandatoryForSearch("Z2","IDLE","100",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._6_ThreeOrMoreCharsAreMandatoryForSearch("Z2","IDLE","100",null)|2024-11-13T20:26:31Z|Passed|smoke|
_7_ResultsMatchSearchCriteria("AUTOMATION","IDLE","10",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._7_ResultsMatchSearchCriteria("AUTOMATION","IDLE","10",null)|2024-11-13T20:26:51Z|Skipped|smoke|
_7_ResultsMatchSearchCriteria("devl","IDLE","10",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._7_ResultsMatchSearchCriteria("devl","IDLE","10",null)|2024-11-13T20:26:51Z|Skipped|smoke|
_8_VerifyPreviousNextPageNumberLinksInPagination("AUTO","CHECKED OUT","10",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._8_VerifyPreviousNextPageNumberLinksInPagination("AUTO","CHECKED OUT","10",null)|2024-11-13T20:26:51Z|Skipped|smoke|
_9_PolicyStates("CHECKED OUT",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._9_PolicyStates("CHECKED OUT",null)|2024-11-13T20:26:51Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._031_ExtractAndDeleteBaselinePoliciesForApplicationWindowsSupersedenceFeature._1_ExtractPolicy|2024-11-13T20:27:14Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._031_ExtractAndDeleteBaselinePoliciesForApplicationWindowsSupersedenceFeature._2_DeletePolicy|2024-11-13T20:28:20Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._033_ExtractVerifyAndDeleteBaselinePoliciesForAdministrativeTemplatesWindows10Feature._1_ExtractPolicy|2024-11-13T20:28:44Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._033_ExtractVerifyAndDeleteBaselinePoliciesForAdministrativeTemplatesWindows10Feature._2_DeletePolicy|2024-11-13T20:29:10Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._034_ExtractVerifyAndDeleteBaselinePoliciesForApplicationIOSFeature._1_ExtractPolicy|2024-11-13T20:29:28Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._034_ExtractVerifyAndDeleteBaselinePoliciesForApplicationIOSFeature._2_DeletePolicy|2024-11-13T20:29:58Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._035_ExtractVerifyAndDeleteBaselinePoliciesForApplicationWebAppFeature._1_ExtractPolicy|2024-11-13T20:30:17Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._035_ExtractVerifyAndDeleteBaselinePoliciesForApplicationWebAppFeature._2_DeletePolicy|2024-11-13T20:30:42Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._036_ExtractVerifyAndDeleteBaselinePoliciesForApplicationWindowsFeature._1_ExtractPolicy|2024-11-13T20:31:03Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._036_ExtractVerifyAndDeleteBaselinePoliciesForApplicationWindowsFeature._2_DeletePolicy|2024-11-13T20:31:36Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._037_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationIOSFeature._1_ExtractPolicy|2024-11-13T20:32:01Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._037_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationIOSFeature._2_DeletePolicy|2024-11-13T20:32:24Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._038_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationWindowsFeature._1_ExtractPolicy|2024-11-13T20:32:43Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._038_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationWindowsFeature._2_DeletePolicy|2024-11-13T20:33:08Z|Passed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._040_CreateUSBDeviceControlsVID_PIDFeature._1_Create|2024-11-13T20:33:27Z|Failed|smoke|
